DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0102321	1	0	0	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0102321	1	0	0	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0102321	1	0	0	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0104821	1	0	1	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0104821	1	0	1	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0104821	1	0	1	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0107321	1	0	2	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0107321	1	0	2	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0107321	1	0	2	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0109821	1	0	3	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0109821	1	0	3	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0109821	1	0	3	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0112321	1	1	0	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0112321	1	1	0	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0112321	1	1	0	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0114821	1	1	1	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0114821	1	1	1	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0114821	1	1	1	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0117321	1	1	2	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0117321	1	1	2	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0117321	1	1	2	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0119821	1	1	3	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0119821	1	1	3	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0119821	1	1	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0122321	1	2	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0122321	1	2	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0122321	1	2	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0124821	1	2	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0124821	1	2	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0124821	1	2	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0127321	1	2	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0127321	1	2	2	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0127321	1	2	2	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0129821	1	2	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0129821	1	2	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0129821	1	2	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
